id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__e4b99f,e4b99f,myelherwallel.com,,Phishing,MyEtherWallet,0xD0cC2B24980CBCCA47EF755Da88B220a82291407
Csdb__ScamDomains__0efd58,0efd58,xn--myetherwallt-leb.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__fdbdd7,fdbdd7,myetherwallet.cam,,Phishing,MyEtherWallet,
Csdb__ScamDomains__ec6410,ec6410,coindash.ru,,Fake ICO,Coindash,
Csdb__ScamDomains__a3ec5b,a3ec5b,etherswap.org,,Phishing,Ethereum,0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1
Csdb__ScamDomains__ce8f13,ce8f13,coin-wallet.info,,Phishing,Coindash,
Csdb__ScamDomains__afb492,afb492,myetherwallet.top,,Phishing,MyEtherWallet,
Csdb__ScamDomains__91a008,91a008,xn--mytherwallet-fvb.com,,Phishing,MyEtherWallet,0x00e01a648ff41346cdeb873182383333d2184dd1
Csdb__ScamDomains__2d0f8f,2d0f8f,my-etherwallet.com,,Phishing,Classic Ether Wallet,
Csdb__ScamDomains__710365,710365,mvetherwallet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__f18770,f18770,myethewallet.net,,Phishing,MyEtherWallet,
Csdb__ScamDomains__3c739d,3c739d,myetherwallet.com.am,,Phishing,MyEtherWallet,
Csdb__ScamDomains__9aecce,9aecce,my-ether-wallet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__d3afa7,d3afa7,myetherwallet.com.gl,,Phishing,MyEtherWallet,
Csdb__ScamDomains__12b4e4,12b4e4,myelherwallet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__cc2d42,cc2d42,my-etherwallet.ch,,Phishing,MyEtherWallet,
Csdb__ScamDomains__0fd1f3,0fd1f3,myetherwallet.com.ht,,Phishing,MyEtherWallet,
Csdb__ScamDomains__affae8,affae8,myetherwallet.ac,,Phishing,MyEtherWallet,
Csdb__ScamDomains__64b42e,64b42e,my-etherwallet.in,,Phishing,MyEtherWallet,
Csdb__ScamDomains__928570,928570,coindash.ml,,Fake ICO,Coindash,
Csdb__ScamDomains__6e0e7d,6e0e7d,myetherwallewt.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__82a7f6,82a7f6,myethwallet.net,,Phishing,MyEtherWallet,0x00e01A648Ff41346CDeB873182383333D2184dd1
Csdb__ScamDomains__6299af,6299af,my-ethwallet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__1cb839,1cb839,myetherwaliiet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__06cee8,06cee8,myetherwallel.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__692c76,692c76,ether-wall.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__691cef,691cef,myethervvallet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__0c40d3,0c40d3,bloclkicihan.info,,,Blockchain.info,
Csdb__ScamDomains__3890b5,3890b5,blocklichan.info,,,Blockchain.info,
Csdb__ScamDomains__1224a2,1224a2,district-0x.io,,Fake ICO,district0x,0x240e125c20a4cC84Bd6E7F8D1FD07Aff4c06D43d
Csdb__ScamDomains__b18833,b18833,myetherwallet.com.ua,,Phishing,MyEtherWallet,
Csdb__ScamDomains__3e710e,3e710e,myetherwalliet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__26ecdf,26ecdf,bitcoin-wallet.net,,Phishing,MyEtherWallet,
Csdb__ScamDomains__83e7bb,83e7bb,ethereum-wallet.net,,Phishing,MyEtherWallet,
Csdb__ScamDomains__c7c101,c7c101,www.ethereum-wallet.info,,Phishing,MyEtherWallet,
Csdb__ScamDomains__2e8f54,2e8f54,www.ether-wallet.net,,Scamming,Trust-Trading,0x8A04B6a0223aF79e4aCC0a55c7B166Fe0794269a
Csdb__ScamDomains__f5595f,f5595f,myetherwallaet.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__ede81e,ede81e,district0x.net,,Fake ICO,district0x,0x2268751eAFC860781074D25f4bD10DED480310B9
Csdb__ScamDomains__ef7c75,ef7c75,secure-myetherwallet.com,,Phishing,MyEtherWallet,
