id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__e4b99f,e4b99f,myelherwallel.com,,Phishing,MyEtherWallet,0xD0cC2B24980CBCCA47EF755Da88B220a82291407
Csdb__ScamDomains__a3ec5b,a3ec5b,etherswap.org,,Phishing,Ethereum,0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1
Csdb__ScamDomains__91a008,91a008,xn--mytherwallet-fvb.com,,Phishing,MyEtherWallet,0x00e01a648ff41346cdeb873182383333d2184dd1
Csdb__ScamDomains__82a7f6,82a7f6,myethwallet.net,,Phishing,MyEtherWallet,0x00e01A648Ff41346CDeB873182383333D2184dd1
Csdb__ScamDomains__1224a2,1224a2,district-0x.io,,Fake ICO,district0x,0x240e125c20a4cC84Bd6E7F8D1FD07Aff4c06D43d
Csdb__ScamDomains__2e8f54,2e8f54,www.ether-wallet.net,,Scamming,Trust-Trading,0x8A04B6a0223aF79e4aCC0a55c7B166Fe0794269a
Csdb__ScamDomains__ede81e,ede81e,district0x.net,,Fake ICO,district0x,0x2268751eAFC860781074D25f4bD10DED480310B9
Csdb__ScamDomains__e96311,e96311,contribute-status.im,,Fake ICO,Status,0xadF5b0c2103598fb66a61714152F1d1717D49FE0
Csdb__ScamDomains__ed9325,ed9325,ethereumchamber.net,,Phishing,MyEtherWallet,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
Csdb__ScamDomains__f67107,f67107,myetherwallet.com.de,,Phishing,MyEtherWallet,0x2b065809f6ec6df32878bcd26711a0e2bcf59c26
Csdb__ScamDomains__807fef,807fef,myetherwallet.com.im,,Phishing,MyEtherWallet,0x42c5459911ae51d1d005cbe39749bd8d8e533c22
Csdb__ScamDomains__8a58f5,8a58f5,myetherwallet.us,,Phishing,MyEtherWallet,0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0
Csdb__ScamDomains__bbd9f5,bbd9f5,myetherwaillet.com,,Phishing,MyEtherWallet,0xed2d26eed06ecfbfd796d1ec551d2a649a31e576
Csdb__ScamDomains__aa3cfd,aa3cfd,myetherwallet.com.cm,,Phishing,MyEtherWallet,0x1D60606d8A09b5015D773A80b0C660Bb8d91809c
Csdb__ScamDomains__839986,839986,myetherwallet.im,,Phishing,MyEtherWallet,0xBa83e9Ce38b10522e3d6061A12779B7526839eda
Csdb__ScamDomains__a7e841,a7e841,myetherwallet.tech,,Phishing,MyEtherWallet,0xBa83e9Ce38b10522e3d6061A12779B7526839eda
Csdb__ScamDomains__8c7a0c,8c7a0c,myetherwallett.com,,Phishing,MyEtherWallet,0x33F74739ce6bE3B2c38AF76F5aDB3866CB4784c4
Csdb__ScamDomains__683715,683715,myaetherwallet.com,,Phishing,MyEtherWallet,0xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd
Csdb__ScamDomains__3cf3ae,3cf3ae,myetherwallet.in,,Phishing,MyEtherWallet,0x858457daA7e087ad74cDeeCEAb8419079bC2cA03
Csdb__ScamDomains__478445,478445,myetherwallet.io,,Phishing,MyEtherWallet,0x379ce20c018fb6301c1872c429ec7270ffa4dc5b
Csdb__ScamDomains__0a4f9c,0a4f9c,myetherwallet.pics,,Scamming,Trust-Trading,0x435fe8272698cA7032c41CBe5d412e0369d159fF
Csdb__ScamDomains__f926b4,f926b4,myetherwallet.rich,,Scamming,Trust-Trading,0x613F306c111bA759E4AC11165e70d2a68AAF4F2A
Csdb__ScamDomains__b89cb2,b89cb2,ethermixer.com,,Scamming,,0xf9fe85e19bd533c69067c6e2ff02727d40a54100
Csdb__ScamDomains__3dd984,3dd984,ziber.io,,Scamming,,0xf0a924661b0263e5ce12756d07f45b8668c53380
Csdb__ScamDomains__3426fc,3426fc,omisego.com,,Phishing,OmiseGO,0x89C98CC6D9917B615257e5704e83906402f0f91f
Csdb__ScamDomains__259b24,259b24,numerai.tech,,Phishing,Numerai,0x89c98cc6d9917b615257e5704e83906402f0f91f
Csdb__ScamDomains__79d738,79d738,omisego.net,,Phishing,OmiseGO,0x1e80dad60d19fb8159af3f440a8ceaa0e5581847
Csdb__ScamDomains__317679,317679,unocoin.fund,,Phishing,Unocoin,0x52b7c8857Be3853fA68e09D9Ba7a9ADf075040eA
Csdb__ScamDomains__b6b09f,b6b09f,decentraland.pro,,Phishing,Decentraland,0x3b0009071a0a9983e9aab537fd8c9ad478310aeb
Csdb__ScamDomains__3b5298,3b5298,status-token.com,,Phishing,Status,0x4Bf722014E54AeAB05fcF1519E6e4C0c3F742e43
Csdb__ScamDomains__cd81e9,cd81e9,myethwallet.io,,Phishing,MyEtherWallet,0xD9932453997ddF36fE114C9F22beBb9eE77b2921
Csdb__ScamDomains__8289df,8289df,tenxpay.io,,Phishing,TenX,0x68B0e0Db7918C0211EA1fB78292a879839137DD0
Csdb__ScamDomains__f71e23,f71e23,wallet-ethereum.net,,Phishing,Wallets,0xF902AA3a62F9E28878129E1A8f1EB71E4FD7a88C
Csdb__ScamDomains__62b0de,62b0de,www.myehterwallet.co,,Phishing,MyEtherWallet,0x1086fEeb031e45e8FCD770662Aa8302d7C23ba1F
Csdb__ScamDomains__5ec15a,5ec15a,statustoken.im,,Phishing,Status,0x685445fE51B31790538890A6468851AfbF7a0519
Csdb__ScamDomains__a7c8cb,a7c8cb,kickico.co,,Phishing,KICKICO,0xc5d65deff5d1373f8b19aa8be528e9c3599013ba
Csdb__ScamDomains__bddef4,bddef4,monetha-crowdsale.com,,Fake ICO,Monetha,0x6fcf42fcd9c6a54b64d1b52083700142952a2805
Csdb__ScamDomains__683e47,683e47,omise-go.io,,Phishing,OmiseGO,0xda657e9fa116900fab8178e5580a3a6cedd89f3c
Csdb__ScamDomains__9a8f37,9a8f37,monetha.me,,Phishing,Monetha,0x44A7fF01f7d38c73530C279e19d31527Bdcf8c78
Csdb__ScamDomains__bc0ecb,bc0ecb,www.golem-network.com,,Phishing,Golem,0xdA657E9Fa116900fAB8178E5580a3a6CEDd89F3C
Csdb__ScamDomains__a2e1bf,a2e1bf,etherdelta.gilthub.io,,Phishing,EtherDelta,0x6506827D91659e871fc7267160ba1C3407195270
Csdb__ScamDomains__285d14,285d14,dmarket.ltd,,Phishing,DMarket,0xf1e250F2a27ab7eC5B82B287F2799260448CD51D
Csdb__ScamDomains__acc968,acc968,herotoken.co,,Phishing,Hero,0xFBF6F29c126382cf15795bB209EE506a174cC709
Csdb__ScamDomains__04e1f6,04e1f6,etherdelta.githulb.io,,Phishing,EtherDelta,0x7CBC4E0D168744912C5Afc081499145BBDc51e69
Csdb__ScamDomains__e2a981,e2a981,herotokens.io,,Phishing,Hero,0x57b818a1070373e21fcedf48d4368e1703c75852
Csdb__ScamDomains__ad6b2a,ad6b2a,aventus.group,,Phishing,Aventus,0x3fcb2d173389b7cd8079ef8b439dbd92e7e0ae28
Csdb__ScamDomains__135293,135293,atlant.solutions,,Phishing,Atlant,0x3fcb2d173389b7cd8079ef8b439dbd92e7e0ae28
Csdb__ScamDomains__910b41,910b41,iconexus.social,,Phishing,Nexus,0x8369F6723C4792b41d4AF4190662269431Ee5B0b
Csdb__ScamDomains__77d39a,77d39a,vlberate.io,,Phishing,Viberate,0x57d02550f47dd932d2fb84e0aa883c9d8d53c313
Csdb__ScamDomains__324a3b,324a3b,monetha.ltd,,Phishing,Monetha,0x4999924fD714092FE92cA9A792a8549f798c1Dc2
Csdb__ScamDomains__d4be94,d4be94,kirkik.com,,Phishing,KIN,0xF8E676094628776690DBf83fa31f08aA14FD3fb8
Csdb__ScamDomains__dcd7f9,dcd7f9,www.the-ether.pro,,Scamming,Web Wallet,0xc4b51a247514901faf1b6b1da9f0836066e64407
Csdb__ScamDomains__a3d04d,a3d04d,qtum-token.com,,Phishing,Qtum,0x4Bf722014E54AeAB05fcF1519E6e4C0c3F742e43
Csdb__ScamDomains__13e909,13e909,linknetwork.co,,Scamming,Chainlink,0xCbCD4b518890429C0Ffef3d782eD99b3ADFF009b
Csdb__ScamDomains__d3f000,d3f000,kin-crowdsale.com,,Scamming,KIN,0xaD0C88F3313ABbce2185597E87A15f764e948A46
